Soft Label	Title	URL	Description	Media Type
AI Literacy	Equity Conference AI Presentation Elemen 2024.pdf - Google Drive	https://drive.google.com/file/d/1tQwuvwAJB8e4HGF_aLR9wgR7JcprkflP/view	"The resource titled ""Equity Conference AI Presentation Elemen 2024.pdf"" is a valuable document available on Google Drive, designed to enhance discussions around the intersection of artificial intelligence and equity in educational settings. This presentation provides insights into how AI can be leveraged to promote fairness and inclusivity in various learning environments, offering practical strategies and case studies. The PDF is an excellent resource for educators, policymakers, and stakeholders interested in understanding the implications of AI technologies on equitable access to educational opportunities. By accessing this document via the Google Drive link, users can engage with the content to explore innovative approaches for integrating AI into equitable educational practices."	Other
AI Literacy	Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice (youtube.com)	https://www.youtube.com/watch?v=HeXDCJGX_58	"The YouTube video titled ""Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice"" explores the essential skills and understandings necessary to navigate the complexities of artificial intelligence in today's digital landscape. This engaging resource emphasizes the importance of fostering critical AI literacy among learners to empower them to engage thoughtfully and ethically with technology. It addresses how equitable access to AI education can promote social justice and enhance digital citizenship. By examining real-world applications and implications of AI, the video encourages viewers to reflect on their roles as informed users and advocates for fairness in the digital age. For those interested in promoting equity and responsible technology use, this video is a valuable educational tool. You can watch it at [this link](https://www.youtube.com/watch?v=HeXDCJGX_58)."	YouTube Video
Bias	CODED BIAS Documentary	https://www.codedbias.com/	Coded Bias is a compelling documentary that explores the increasingly prevalent issue of algorithmic bias in artificial intelligence systems. Directed by Shalini Kantayya, the film follows the groundbreaking research of Joy Buolamwini, a computer scientist whose work reveals significant disparities in facial recognition technologies, particularly the impact on women and people of color. Through a blend of expert interviews, case studies, and alarming statistics, the documentary exposes how biased AI can reinforce societal inequities and urges a reevaluation of the technologies that govern our lives. Available at www.codedbias.com, this resource serves as a vital educational tool for anyone interested in the ethical implications of AI and the critical need for accountability and transparency in technology development.	Web Page
Bias	🔥 UNMASKING AI Book Launch | Dr. Joy Buolamwini in conversation with Sinead Bovell | 10/31/23 (youtube.com)	https://www.youtube.com/watch?v=_DWx5XQr0xI	"The resource titled ""🔥 UNMASKING AI Book Launch | Dr. Joy Buolamwini in conversation with Sinead Bovell | 10/31/23"" is a YouTube video featuring a compelling discussion between Dr. Joy Buolamwini, a prominent AI researcher and advocate for ethical AI, and Sinead Bovell, a leading voice in the intersection of technology and society. This engaging conversation delves into the themes of Dr. Buolamwini's latest book, ""Unmasking AI,"" which explores the implications of artificial intelligence on society, particularly concerning bias and accountability in algorithmic systems. Viewers can expect insightful commentary on the urgent need for more inclusive and ethical practices within the AI field, making it an essential watch for educators, students, and anyone interested in the future of technology and its societal impact. The video is accessible through the provided link with keywords such as ""www,"" ""youtube.com,"" ""watch,"" and ""v"" leading to the specific content."	YouTube Video
Bias	AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED (youtube.com)	https://www.youtube.com/watch?v=eXdVDhOGqoE	"The TED talk titled ""AI Is Dangerous, but Not for the Reasons You Think"" by Sasha Luccioni delves into the nuanced risks associated with artificial intelligence, challenging common misconceptions. Presented on the popular platform YouTube, this engaging video (available at www.youtube.com/watch?v=eXdVDhOGqoE) explores the complexities of AI technology and emphasizes the importance of understanding its societal implications beyond typical fears. Luccioni sheds light on the ethical considerations, potential biases, and unintended consequences of AI deployment, urging viewers to approach these innovations with a critical mindset. This resource is invaluable for educators, policymakers, and technologists interested in fostering a deeper understanding of AI's role in our world and preparing for its future challenges."	YouTube Video
Books	Khan, Salman. Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing). Viking, 2024.	https://www.amazon.com/Brave-New-Words-Revolutionize-Education-ebook/dp/B0CFPJ2FB1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"In his compelling work ""Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing),"" Salman Khan explores the transformative potential of artificial intelligence in the educational landscape. Set to be released by Viking in 2024, this book examines how AI can personalize learning experiences, democratize access to information, and enhance student engagement. Khan draws on his extensive experience founding Khan Academy to provide insights into practical applications of AI tools in classrooms and beyond. With a focus on the positive implications of AI, the book challenges prevailing fears about technology in education, advocating for innovation that empowers learners. Available as an eBook on platforms such as Amazon, this resource is essential for educators, policymakers, and anyone interested in the future of learning. For more information, visit: www.amazon.com/Brave-New-Words-Revolutionize-Education/dp/B0CFPJ2FB1."	Other
Books	Dickinson, Lynn M. How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty. publisher not identified, 2024.	https://www.amazon.com/ChatGPT-Language-Models-Teaching-Assistant-ebook/dp/B0CV9BJ31M/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"The resource titled ""How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty"" by Lynn M. Dickinson is a comprehensive guide specifically designed for educators in higher education looking to integrate AI tools into their teaching practices. This guidebook explores the functionalities of ChatGPT and other large language models, offering practical insights on how these technologies can enhance classroom engagement, streamline administrative tasks, and support student learning. It covers various applications, from generating educational content to providing personalized assistance for students. Available as an ebook on platforms like Amazon, this resource is an essential tool for faculty aiming to leverage AI effectively in their teaching strategies, ensuring they stay ahead in the rapidly evolving educational landscape. You can find it by searching for its Amazon listing using its unique identification number: B0CV9BJ31M."	Other
Books	Bauschard, Stefan, and Sabba Quidwai. Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning, 2024.	https://www.amazon.com/Humanity-Amplified-Understanding-Augmenting-Intelligence/dp/B0D4K5WL28	"The resource titled ""Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning"" by Stefan Bauschard and Sabba Quidwai offers a comprehensive exploration of how artificial intelligence can be harnessed to enhance educational practices and cultivate deeper learning experiences for students. Set to be released in 2024, this insightful book delves into the intersection of AI and human intelligence, providing educators with strategies to integrate AI tools effectively in the classroom. It emphasizes the importance of fostering emotional and social intelligence alongside cognitive skills, ultimately aiming to create a more holistic educational environment. Available for purchase on Amazon, this title is a must-read for educators, administrators, and policymakers looking to navigate the evolving landscape of AI in education. For more information, visit www.amazon.com/dp/B0D4K5WL28."	Other
Books	Bowen, José Antonio, and C. Edward Watson. Teaching with AI: A Practical Guide to a New Era of Human Learning. Johns Hopkins University Press, 2024.	https://www.amazon.com/Teaching-AI-Practical-Guide-Learning-ebook/dp/B0CMK5WJG1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"The resource titled ""Teaching with AI: A Practical Guide to a New Era of Human Learning"" by José Antonio Bowen and C. Edward Watson is a comprehensive guide published by Johns Hopkins University Press in 2024. This insightful book serves as an essential tool for educators looking to integrate artificial intelligence into their teaching strategies effectively. It presents practical approaches and innovative ideas for leveraging AI technologies to enhance student engagement and learning outcomes. This resource is particularly valuable for educators at all levels who aim to navigate the changing landscape of education in an AI-driven world. It is available in ebook format, making it accessible for readers interested in 21st-century teaching methodologies. For further details, you can find it on platforms like Amazon using the keywords related to teaching, AI, and learning."	Other
Books	Buolamwini, Joy. Unmasking AI: A Story of Hope and Justice in a World of Machines. First edition, Random House, 2023.	https://www.penguinrandomhouse.com/books/670356/unmasking-ai-by-joy-buolamwini/	"""Unmasking AI: A Story of Hope and Justice in a World of Machines"" by Joy Buolamwini is a compelling exploration of the ethical implications surrounding artificial intelligence and its impact on society. Published by Random House in 2023, this book delves into the intersection of technology and social justice, highlighting the biases embedded in AI systems and the urgent need for accountability and transparency. Buolamwini, an influential scholar and activist, draws from her extensive research to advocate for equitable AI practices. This resource is ideal for educators, policymakers, and anyone interested in understanding the complexities of AI technologies. For more information about the book, including purchasing options, visit Penguin Random House's official website at www.penguinrandomhouse.com/books/670356/unmasking-ai-by-joy-buolamwini."	Web Page
