Soft Label	Title	URL	Description	Media Type	Keywords
AI Literacy	Equity Conference AI Presentation Elemen 2024.pdf - Google Drive	https://drive.google.com/file/d/1tQwuvwAJB8e4HGF_aLR9wgR7JcprkflP/view	"**Resource Description:**

The ""Equity Conference AI Presentation Elemen 2024.pdf"" is a comprehensive document hosted on Google Drive, specifically designed to aid college faculty and staff in understanding and integrating Artificial Intelligence into their educational and administrative practices. This presentation stems from the Equity Conference 2024, focusing on utilizing AI to promote inclusivity and equitable outcomes in higher education. It offers detailed insights into how AI can be leveraged to identify and address disparities in student performance, streamline administrative tasks, enhance personalized learning experiences, and create adaptive learning environments. Faculty and staff will benefit from practical examples, case studies, and action plans that can be directly implemented in their contexts to promote an equitable educational landscape. 

**Keywords:**
AI in Education, Equity in Higher Education, Adaptive Learning, Personalized Learning, Administrative Efficiency, Inclusive Teaching, Educational Technology, Google Drive Resource."	Other	
AI Literacy	Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice (youtube.com)	https://www.youtube.com/watch?v=HeXDCJGX_58	"**Resource Description:**
""**Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice**"" is a valuable video resource available on YouTube that delves into the integration of AI in educational contexts with a focus on promoting equity and justice. This resource examines how to foster critical AI literacy among students and staff, equipping them with the knowledge and skills needed to navigate and critique AI technologies responsibly. By emphasizing digital citizenship, the video guides educators on how to cultivate an environment that encourages responsible, ethical, and equitable use of AI tools in the classroom and workplace. The insights provided can be instrumental for faculty and staff looking to understand the broader social implications of AI and ensure that its deployment enhances inclusivity and fairness.

**Keywords:** 
- AI Literacy
- Digital Citizenship
- Equity and Justice
- Ethical AI
- Educational Technology
- Responsible AI Usage"	YouTube Video	
Bias	CODED BIAS Documentary	https://www.codedbias.com/	"**CODED BIAS Documentary**

The *CODED BIAS* documentary is a powerful resource for college faculty and staff interested in understanding the impact of artificial intelligence on society, with a particular focus on algorithmic bias. This documentary delves into the work of MIT Media Lab researcher Joy Buolamwini, who uncovered significant biases in facial recognition technology and broader AI systems. By showcasing real-world examples and expert interviews, the film highlights the ethical and societal implications of biased algorithms in education, workplace environments, and beyond. Faculty and staff can leverage this resource to spark meaningful classroom discussions, inform curriculum development, and foster a more critical approach to adopting AI technologies. For more details, visit codedbias.com.

**Keywords:** AI bias, algorithmic discrimination, facial recognition, Joy Buolamwini, ethics in AI, technology in education."	Web Page	
Bias	🔥 UNMASKING AI Book Launch | Dr. Joy Buolamwini in conversation with Sinead Bovell | 10/31/23 (youtube.com)	https://www.youtube.com/watch?v=_DWx5XQr0xI	"**Resource Description:**

🔥 UNMASKING AI Book Launch is an insightful YouTube discussion featuring Dr. Joy Buolamwini and Sinead Bovell, recorded on October 31, 2023. This resource offers college faculty and staff a deep dive into the ethical dimensions of AI, focusing on its impact on society and education. Dr. Buolamwini, a renowned expert in AI ethics, shares her groundbreaking research on algorithmic bias and the societal implications of AI technologies. The conversation includes practical insights on how educators can incorporate AI awareness and ethical considerations into their curriculum, and how staff can leverage AI responsibly within their workplace. This resource is invaluable for fostering critical thinking about AI and developing strategies for responsible AI integration in educational settings. 

**Keywords:**
- AI Ethics
- Algorithmic Bias
- Educational Settings
- Responsible AI Integration
- Joy Buolamwini
- Sinead Bovell
- YouTube Discussion"	YouTube Video	
Bias	AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED (youtube.com)	https://www.youtube.com/watch?v=eXdVDhOGqoE	"""AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED"" is a thought-provoking TED Talk available on YouTube that addresses the multifaceted impact of artificial intelligence on our society. This resource provides a nuanced perspective on the ethical, social, and environmental implications of AI, making it highly relevant for college faculty and staff looking to incorporate these discussions into their curriculum or workplace initiatives. Sasha Luccioni, an expert in AI ethics, delves into often-overlooked aspects of AI's influence, encouraging a critical evaluation of how these technologies are developed and deployed. This talk is particularly helpful for stimulating classroom discussions, developing interdisciplinary coursework, or guiding institutional policy on ethical AI use. You can find this insightful presentation on www.youtube.com by searching the video ID ""eXdVDhOGqoE.""

Keywords: TED Talk, AI Ethics, AI in Education, Artificial Intelligence, Social Impact of AI, Ethical AI Use, AI Policy."	YouTube Video	
Books	Khan, Salman. Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing). Viking, 2024.	https://www.amazon.com/Brave-New-Words-Revolutionize-Education-ebook/dp/B0CFPJ2FB1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"**Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing) by Salman Khan** is an essential resource for college faculty and staff looking to integrate artificial intelligence into their educational practices. Khan, the founder of Khan Academy, explores the transformative potential of AI in enhancing teaching methodologies, personalizing student learning experiences, and automating administrative tasks. The book provides practical examples, visionary insights, and actionable strategies to harness AI's power for greater efficiency and improved educational outcomes. Faculty members will find the work particularly valuable for understanding how AI can aid in identifying student needs, tailoring lesson plans, and even predicting academic performance. For staff, the book offers a detailed look at how AI can be leveraged to streamline workflows and optimize resource management. 

Keywords: AI in education, personalized learning, teaching methodologies, educational technology, Salman Khan, faculty resources, staff workflows, academic performance."	Other	
Books	Dickinson, Lynn M. How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty. publisher not identified, 2024.	https://www.amazon.com/ChatGPT-Language-Models-Teaching-Assistant-ebook/dp/B0CV9BJ31M/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"**Dickinson, Lynn M. ""How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty."" Publisher not identified, 2024.** This comprehensive guidebook provides college faculty with practical strategies for integrating advanced AI language models, such as ChatGPT, into their teaching practices. The book demystifies the technology, explaining how these tools can enhance classroom engagement, streamline administrative tasks, and support student learning outcomes. Faculty will find step-by-step instructions, real-world examples, and best practices for harnessing AI’s potential to create an interactive, efficient, and data-driven educational environment. This resource is particularly beneficial for educators seeking innovative ways to leverage technology in their pedagogy and improve their workflow.

**Keywords**: ChatGPT, AI in education, teaching assistant, higher education, language models, instructional technology, faculty guide, classroom AI, educational tools, eBook."	Other	
Books	Bauschard, Stefan, and Sabba Quidwai. Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning, 2024.	https://www.amazon.com/Humanity-Amplified-Understanding-Augmenting-Intelligence/dp/B0D4K5WL28	"""Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning"" by Stefan Bauschard and Sabba Quidwai is an indispensable resource for college faculty and staff looking to integrate artificial intelligence into their pedagogical practices and administrative functions. Published in 2024, this comprehensive guide delves into the evolving landscape of AI, emphasizing how educators can harness these technologies to amplify student learning and cognitive development. It offers actionable strategies to seamlessly blend human deep learning with artificial intelligence, thereby enhancing educational outcomes and preparing students for a future where AI plays a pivotal role. This book not only equips educators with the necessary understanding of AI concepts but also provides practical frameworks to implement these in real-world educational settings.

Keywords: AI in Education, Human Deep Learning, Student Learning, Educational Technology, Faculty Resources, 2024, Stefan Bauschard, Sabba Quidwai."	Other	
Books	Bowen, José Antonio, and C. Edward Watson. Teaching with AI: A Practical Guide to a New Era of Human Learning. Johns Hopkins University Press, 2024.	https://www.amazon.com/Teaching-AI-Practical-Guide-Learning-ebook/dp/B0CMK5WJG1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"**Resource Description:**

""Teaching with AI: A Practical Guide to a New Era of Human Learning"" by José Antonio Bowen and C. Edward Watson, published by Johns Hopkins University Press in 2024, is an essential resource for college faculty and staff looking to integrate AI into their educational methods or workplace settings. This comprehensive guide offers practical insights and step-by-step strategies to leverage AI technologies effectively, enhancing both teaching and administrative processes. The book delves into AI-driven tools that can personalize learning experiences, automate administrative tasks, and assist in data-driven decision-making. By adopting these innovative approaches, educators and staff can improve student engagement, streamline operations, and foster a more adaptive learning environment. Available in various formats, including an ebook, this resource is accessible and convenient for busy professionals eager to stay ahead in the evolving educational landscape.

**Keywords:** Teaching with AI, Practical Guide, Human Learning, AI in education, instructional technology, educational tools, faculty resource, AI implementation, personalized learning, automation in education."	Other	
Books	Buolamwini, Joy. Unmasking AI: A Story of Hope and Justice in a World of Machines. First edition, Random House, 2023.	https://www.penguinrandomhouse.com/books/670356/unmasking-ai-by-joy-buolamwini/	"**Unmasking AI: A Story of Hope and Justice in a World of Machines** is a pivotal resource authored by Joy Buolamwini, an esteemed AI researcher and advocate for ethical AI practices. Published by Random House in 2023, this book provides an enlightening exploration of how artificial intelligence can be designed and implemented to promote social justice and equity. Buolamwini delves into her own experiences and pioneering research in uncovering biases in AI systems, bringing to light the far-reaching impacts of these technologies on marginalized communities. For college faculty and staff, this resource is invaluable in aligning AI integration with ethical standards and fostering an inclusive educational environment. By coupling technical insights with compelling narratives, the book offers practical guidance and inspiration for educators aiming to responsibly incorporate AI in the classroom or workplace.

**Keywords:** ethical AI, social justice, artificial intelligence, AI bias, Joy Buolamwini, inclusive technology, AI in education, responsible AI deployment."	Web Page	
Books	Suleyman, Mustafa. The Coming Wave. First edition, Crown, 2023.	https://www.penguinrandomhouse.com/books/722674/the-coming-wave-by-mustafa-suleyman-with-michael-bhaskar/	"**The Coming Wave: A Revolution in AI Applications for Education**
Mustafa Suleyman's ""The Coming Wave"" is an essential resource for college faculty and staff looking to effectively integrate AI into their classrooms and workplaces. This first edition book, published by Crown in 2023, offers a comprehensive exploration of the latest advancements in artificial intelligence and its potential transformative impact on educational practices and administrative processes. Suleyman, a significant figure in the AI industry, provides insightful analysis and practical guidance on leveraging AI tools to enhance teaching methodologies, automate administrative tasks, and foster a more engaging learning environment. This resource is particularly beneficial for educators striving to stay ahead in the rapidly evolving educational landscape, offering real-world examples and strategies that can be immediately implemented. By understanding the trends and innovations discussed in this book, faculty and staff can better prepare their institutions for the future, making learning more accessible and effective for all students.

**Keywords:** AI in education, artificial intelligence, Mustafa Suleyman, teaching methodologies, educational technology, administrative automation, learning environment, Crown, 2023"	Web Page	
