Soft Label	Title	URL
AI Literacy	Equity Conference AI Presentation Elemen 2024.pdf - Google Drive	https://drive.google.com/file/d/1tQwuvwAJB8e4HGF_aLR9wgR7JcprkflP/view
AI Literacy	Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice (youtube.com)	https://www.youtube.com/watch?v=HeXDCJGX_58
Bias	CODED BIAS Documentary	https://www.codedbias.com/
Bias	🔥 UNMASKING AI Book Launch | Dr. Joy Buolamwini in conversation with Sinead Bovell | 10/31/23 (youtube.com)	https://www.youtube.com/watch?v=_DWx5XQr0xI
Bias	AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED (youtube.com)	https://www.youtube.com/watch?v=eXdVDhOGqoE
Books	Khan, Salman. Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing). Viking, 2024.	https://www.amazon.com/Brave-New-Words-Revolutionize-Education-ebook/dp/B0CFPJ2FB1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=
Books	Dickinson, Lynn M. How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty. publisher not identified, 2024.	https://www.amazon.com/ChatGPT-Language-Models-Teaching-Assistant-ebook/dp/B0CV9BJ31M/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=
Books	Bauschard, Stefan, and Sabba Quidwai. Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning, 2024.	https://www.amazon.com/Humanity-Amplified-Understanding-Augmenting-Intelligence/dp/B0D4K5WL28
Books	Bowen, José Antonio, and C. Edward Watson. Teaching with AI: A Practical Guide to a New Era of Human Learning. Johns Hopkins University Press, 2024.	https://www.amazon.com/Teaching-AI-Practical-Guide-Learning-ebook/dp/B0CMK5WJG1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=
Books	Buolamwini, Joy. Unmasking AI: A Story of Hope and Justice in a World of Machines. First edition, Random House, 2023.	https://www.penguinrandomhouse.com/books/670356/unmasking-ai-by-joy-buolamwini/
Books	Suleyman, Mustafa. The Coming Wave. First edition, Crown, 2023.	https://www.penguinrandomhouse.com/books/722674/the-coming-wave-by-mustafa-suleyman-with-michael-bhaskar/
