Soft Label	Title	URL	Description	Media Type
AI Literacy	Equity Conference AI Presentation Elemen 2024.pdf - Google Drive	https://drive.google.com/file/d/1tQwuvwAJB8e4HGF_aLR9wgR7JcprkflP/view	"**Description**: The ""Equity Conference AI Presentation Elemen 2024.pdf"" is a comprehensive resource for college faculty and staff interested in understanding and incorporating artificial intelligence (AI) in their classrooms and workplaces. This document provides insights shared during the Equity Conference, highlighting the importance of equitable AI integration in educational settings. It covers best practices, case studies, and strategies to ensure AI technologies are used to enhance learning experiences while promoting fairness and inclusivity. Accessible through Google Drive, this presentation can be an invaluable guide for educators aiming to stay at the forefront of technological advancements and ensuring all students benefit equally from these innovations.

**Keywords:** AI Integration, Educational Equity, AI in Classrooms, Equity Conference, Best Practices, Inclusive Technology, College Faculty Resources, Staff Training, AI Strategies, Learning Enhancement"	Other
AI Literacy	Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice (youtube.com)	https://www.youtube.com/watch?v=HeXDCJGX_58	"**Description:** Cultivating Critical AI Literacy and Digital Citizenship for Equity and Justice is a thought-provoking video available on YouTube that delves into the importance of incorporating Artificial Intelligence (AI) education within college settings. This resource emphasizes the necessity for faculty and staff to understand AI technologies, not just from a technical standpoint, but from an ethical, social justice, and equity perspective. The video offers practical strategies and insights into fostering critical AI literacy among students, ensuring they are not only knowledgeable about AI but also conscious of its societal impacts. By integrating these principles into their curriculum and administrative processes, educators can better prepare students to navigate and influence the evolving digital landscape responsibly and equitably.

**Keywords:** AI Literacy, Digital Citizenship, Equity, Justice, Education, Ethical AI, Faculty Resources, Student Engagement, Higher Education, Classroom Technology"	YouTube Video
Bias	CODED BIAS Documentary	https://www.codedbias.com/	"**Description:** ""CODED BIAS Documentary"" is a crucial resource for college faculty and staff interested in understanding the implications of artificial intelligence (AI) both in the classroom and within their broader workplace environments. This compelling documentary, accessible at www.codedbias.com, investigates the biases embedded within AI systems and highlights the significant social, ethical, and educational impacts. By showcasing the works of AI researchers and advocates, the film illustrates the importance of recognizing and addressing AI biases, ensuring more equitable and effective educational practices and workplace policies. Faculty can integrate this documentary into their curriculum to foster critical discussions among students about AI ethics, while staff can use the insights to develop fairer institutional frameworks. Engaging with ""CODED BIAS Documentary"" will not only enhance awareness but also promote the responsible use of AI technologies.

**Keywords:** AI Bias, Artificial Intelligence, Ethical AI, Documentary, Education Technology, AI Ethics, AI in the Classroom, Institutional Equity, AI Research, Social Impact of AI"	Web Page
Bias	🔥 UNMASKING AI Book Launch | Dr. Joy Buolamwini in conversation with Sinead Bovell | 10/31/23 (youtube.com)	https://www.youtube.com/watch?v=_DWx5XQr0xI	"**Description:** 🔥 **UNMASKING AI Book Launch** features Dr. Joy Buolamwini, a highly regarded expert in AI ethics, in conversation with futurist and technology strategist Sinead Bovell. This enlightening discussion, held on October 31, 2023, and available on YouTube, delves into the critical themes of Dr. Buolamwini's new book, offering deep insights into the ethical considerations and societal impacts of artificial intelligence. Faculty and staff will find this resource invaluable for gaining a nuanced understanding of AI’s implications, which is crucial for integrating AI responsibly into academic curricula and administrative operations. By exploring real-world examples and research-driven perspectives, viewers can enrich their AI literacy and apply this knowledge to foster a more inclusive and conscientious educational environment.

**Keywords:** AI Ethics, Joy Buolamwini, Sinead Bovell, AI In Education, Book Launch, AI Impacts, Technology Strategy, YouTube, AI Literacy, Ethical AI"	YouTube Video
Bias	AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED (youtube.com)	https://www.youtube.com/watch?v=eXdVDhOGqoE	"**Description**: ""AI Is Dangerous, but Not for the Reasons You Think"" is a thought-provoking TED talk by Sasha Luccioni, available on YouTube. This resource explores the potential risks and ethical considerations associated with the deployment of artificial intelligence, but challenges some of the most common fears and misconceptions. Instead, it focuses on the socio-economic and environmental impacts of AI, providing a nuanced perspective that is essential for educators and staff who are considering integrating AI tools into their classrooms or workplaces. By understanding the broader implications of AI, faculty can better prepare students for a future where these technologies are deeply integrated into various industries, and staff can make more informed decisions about adopting AI solutions. This resource is valuable for fostering critical thinking and ensuring responsible use of technology in educational settings.

**Keywords**: AI Risks, Ethical AI, Socio-Economic Impact, Environmental Impact, Responsible AI, AI in Education, TED Talk, AI Misconceptions, Sasha Luccioni"	YouTube Video
Books	Khan, Salman. Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing). Viking, 2024.	https://www.amazon.com/Brave-New-Words-Revolutionize-Education-ebook/dp/B0CFPJ2FB1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"**Description**: Salman Khan's ""Brave New Words: How AI Will Revolutionize Education (and Why That’s a Good Thing)"" is a groundbreaking resource that explores the transformative potential of Artificial Intelligence in education. This 2024 publication offers a comprehensive guide for college faculty and staff on how to effectively incorporate AI into classroom instruction and administrative processes. Khan, founder of the renowned Khan Academy, leverages his extensive expertise to present practical strategies for enhancing student engagement, personalizing learning experiences, and streamlining administrative tasks. The book underscores the importance of embracing AI to future-proof education and make learning more accessible and efficient. College educators and administrators will find this resource invaluable for staying ahead of technological advancements and enriching their educational practices.

**Keywords**: AI In Education, Salman Khan, Classroom Technology, Personalized Learning, Educational Innovation, Faculty Resources, AI Applications, Future Of Education, Administrative Efficiency."	Other
Books	Dickinson, Lynn M. How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty. publisher not identified, 2024.	https://www.amazon.com/ChatGPT-Language-Models-Teaching-Assistant-ebook/dp/B0CV9BJ31M/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"**Description:**  
""**How to Use ChatGPT (and Other Large Language Models) as a Teaching Assistant: A Guidebook for Higher Education Faculty**"" by Lynn M. Dickinson is an invaluable resource for college faculty and staff striving to incorporate AI tools into their classrooms and workplaces. This guidebook delves into practical strategies for leveraging ChatGPT and similar large language models to enhance teaching efficiency, student engagement, and administrative tasks. From generating dynamic course content to providing students with instant assistance, the book outlines methodologies for utilizing AI as a supportive teaching assistant, thereby allowing educators to focus more on personalized instruction and mentorship. Not only does it provide step-by-step instructions and real-world examples, but it also explores ethical considerations and best practices in AI implementation in educational settings. 

**Keywords:**  
AI In Education, Teaching Assistant, ChatGPT, Large Language Models, Higher Education, Faculty Guide, Student Engagement, Course Content, Educational Technology, AI Implementation"	Other
Books	Bauschard, Stefan, and Sabba Quidwai. Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning, 2024.	https://www.amazon.com/Humanity-Amplified-Understanding-Augmenting-Intelligence/dp/B0D4K5WL28	"**Description**: ""Humanity Amplified: Understanding the AI World and Augmenting Our Students’ Intelligence with Human Deep Learning"" by Stefan Bauschard and Sabba Quidwai, published in 2024, is an essential resource for college faculty and staff aiming to integrate AI into the educational landscape. This comprehensive guide provides insightful strategies on how AI can enhance student learning experiences by combining cutting-edge technology with human-centric deep learning methodologies. The authors offer practical examples, case studies, and actionable steps to help educators and administrators seamlessly blend AI tools into their curricula and workplace operations, thereby fostering an environment of innovation and critical thinking. Given the rapidly evolving nature of AI, this resource not only equips faculty with the knowledge needed to stay ahead but also empowers students to harness these technologies effectively.

**Keywords:** AI Integration, Human Deep Learning, Educational Technology, AI in Education, Faculty Resources, Classroom Innovation, Student Intelligence, Artificial Intelligence, Higher Education, AI Strategies, Teaching Tools, Educator Guide, 2024 Publication"	Other
Books	Bowen, José Antonio, and C. Edward Watson. Teaching with AI: A Practical Guide to a New Era of Human Learning. Johns Hopkins University Press, 2024.	https://www.amazon.com/Teaching-AI-Practical-Guide-Learning-ebook/dp/B0CMK5WJG1/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=	"**Description**: ""Teaching with AI: A Practical Guide to a New Era of Human Learning"" by José Antonio Bowen and C. Edward Watson, published by Johns Hopkins University Press in 2024, is an invaluable resource for college faculty and staff looking to integrate artificial intelligence into their teaching and workplace practices. This guide offers practical strategies and tools for enhancing educational experiences and administrative efficiency through AI-driven technologies. It covers a range of topics including personalized learning, intelligent tutoring systems, data analytics for educational decision-making, and the ethical considerations of using AI in education. By providing both theoretical insights and actionable techniques, this book helps educators and administrators navigate the complexities of AI to improve learning outcomes and streamline operational processes.

**Keywords**: Teaching With AI, Practical Guide, Human Learning, José Antonio Bowen, C. Edward Watson, Education Technology, AI In Classroom, Personalized Learning, Data Analytics, Intelligent Tutoring Systems, Johns Hopkins University Press, 2024, Educational Resources, Faculty Development"	Other
Books	Buolamwini, Joy. Unmasking AI: A Story of Hope and Justice in a World of Machines. First edition, Random House, 2023.	https://www.penguinrandomhouse.com/books/670356/unmasking-ai-by-joy-buolamwini/	"**Description**: ""Unmasking AI: A Story of Hope and Justice in a World of Machines"" by Joy Buolamwini, published in 2023 by Random House, serves as an authoritative resource for college faculty and staff interested in the ethical and practical aspects of incorporating AI in educational settings. This first edition delves into the intersection of artificial intelligence, social justice, and activism, spotlighting the often overlooked biases built into AI systems. Joy Buolamwini, a renowned researcher and advocate for ethical AI, provides an engaging narrative on the potential for using AI responsibly and equitably. Faculty and staff will find the book invaluable for its deep insights on creating fairer AI tools and promoting inclusivity in the classroom and workplace. The book’s well-researched case studies and actionable guidelines make it an indispensable guide for educators aiming to leverage AI while fostering a socially responsible learning environment.

**Keywords:** Artificial Intelligence, Social Justice, AI Ethics, Educational Technology, Bias in AI, Inclusivity, Joy Buolamwini, Classroom Innovation, Faculty Resources, Workplace AI"	Web Page
